,UID,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
5480,UID05480,27,3,5,4,20,0,28,4,13,0,15,13,29
5481,UID05481,0,26,34,94,10,0,1,0,2,1,0,0,3
5482,UID05482,125,4,1,0,0,0,21,5,16,0,9,7,1
5483,UID05483,32,0,12,5,0,0,21,3,48,0,11,38,15
5484,UID05484,63,20,34,25,10,7,3,0,0,0,2,0,3
5485,UID05485,26,1,6,4,0,0,79,35,5,0,8,4,19
5486,UID05486,0,20,21,120,10,1,1,0,0,0,1,0,1
5487,UID05487,0,41,36,41,45,5,0,0,0,3,1,0,1
5488,UID05488,132,2,1,0,0,0,12,2,16,0,8,13,3
5489,UID05489,0,33,82,21,1,5,0,0,0,7,0,7,1
5490,UID05490,24,5,9,2,2,0,27,7,29,0,13,8,44
5491,UID05491,0,77,21,4,20,53,0,0,0,0,2,0,0
5492,UID05492,0,18,28,18,10,6,29,1,1,49,1,0,0
5493,UID05493,19,6,2,9,16,0,33,7,12,0,17,17,31
5494,UID05494,0,140,32,58,11,0,1,0,0,6,1,0,3
5495,UID05495,0,58,17,7,13,64,0,0,0,0,2,0,0
5496,UID05496,0,25,34,119,15,1,3,0,0,0,2,0,1
5497,UID05497,0,18,39,18,7,3,35,1,0,52,0,0,0
5498,UID05498,134,3,5,0,0,0,12,1,11,0,13,9,3
5499,UID05499,20,2,6,7,12,0,29,2,18,0,21,9,31
5500,UID05500,143,2,1,0,0,0,7,3,17,0,9,11,6
5501,UID05501,13,29,3,3,1,21,9,8,14,0,59,11,22
5502,UID05502,160,1,1,0,0,0,20,0,11,0,9,6,2
5503,UID05503,29,1,1,13,0,0,15,2,11,0,18,12,75
5504,UID05504,18,0,5,20,1,0,8,3,14,0,12,12,69
5505,UID05505,0,39,74,33,4,5,1,0,0,2,0,1,1
5506,UID05506,15,1,4,1,2,0,35,5,19,0,16,15,67
5507,UID05507,0,71,32,44,13,1,5,0,1,5,1,0,3
5508,UID05508,0,72,23,8,13,60,0,0,0,0,1,1,0
5509,UID05509,0,73,31,43,9,6,3,0,0,11,1,0,2
5510,UID05510,15,1,2,1,0,0,27,0,19,0,12,9,74
5511,UID05511,19,1,16,4,0,0,20,6,50,0,7,31,21
5512,UID05512,23,2,3,5,0,0,38,6,17,0,13,15,57
5513,UID05513,28,1,20,4,0,0,26,8,40,0,12,47,23
5514,UID05514,21,0,7,23,0,0,13,5,10,0,12,13,71
5515,UID05515,36,3,9,0,0,0,38,10,18,0,23,10,61
5516,UID05516,56,19,34,17,6,7,3,0,0,0,2,0,5
5517,UID05517,25,3,10,3,0,0,85,29,3,0,6,6,20
5518,UID05518,26,2,17,4,0,0,21,3,33,0,15,37,19
5519,UID05519,0,17,39,103,9,1,1,0,0,0,1,0,1
5520,UID05520,28,1,16,4,0,0,19,3,55,0,9,30,25
5521,UID05521,19,1,14,4,1,0,15,3,47,0,9,35,17
5522,UID05522,30,0,17,6,0,0,22,2,51,0,11,35,23
5523,UID05523,21,1,7,17,2,0,14,7,12,0,18,9,62
5524,UID05524,14,0,3,27,2,0,6,4,18,0,14,12,82
5525,UID05525,0,33,73,34,2,3,0,0,1,4,0,8,2
5526,UID05526,35,0,3,23,1,0,10,5,13,0,15,19,59
5527,UID05527,19,0,16,6,0,0,26,6,61,0,8,32,20
5528,UID05528,0,45,40,35,38,6,1,0,0,3,3,0,6
5529,UID05529,18,0,8,7,0,0,91,24,2,0,6,8,25
5530,UID05530,32,2,8,5,15,0,27,9,19,0,9,11,30
5531,UID05531,0,38,70,16,4,5,0,0,4,2,0,7,4
5532,UID05532,0,17,29,18,10,6,15,3,0,48,0,0,0
5533,UID05533,0,32,28,45,45,4,0,0,0,2,2,0,1
5534,UID05534,0,19,23,108,8,1,0,0,0,0,1,0,2
5535,UID05535,0,36,80,23,3,5,0,0,3,2,0,6,4
5536,UID05536,0,54,19,6,4,58,0,0,0,0,4,1,0
5537,UID05537,24,1,3,24,2,0,7,7,18,0,19,17,76
5538,UID05538,17,0,1,0,1,0,34,1,20,0,8,8,80
5539,UID05539,0,20,24,97,9,1,0,0,2,0,2,0,1
5540,UID05540,56,20,32,25,14,5,6,0,0,0,1,0,5
5541,UID05541,11,16,4,2,0,19,21,3,10,0,50,5,26
5542,UID05542,27,0,11,21,1,0,12,2,11,0,9,16,61
5543,UID05543,0,21,31,87,5,1,2,0,0,1,0,0,3
5544,UID05544,20,0,8,20,1,0,11,8,15,0,12,15,67
5545,UID05545,0,24,85,29,5,10,0,0,1,2,0,4,2
5546,UID05546,0,18,30,21,9,4,19,1,0,47,0,0,0
5547,UID05547,0,31,98,24,3,3,2,0,1,4,0,10,1
5548,UID05548,22,0,10,16,0,0,2,6,14,0,13,9,79
5549,UID05549,25,3,20,1,1,0,19,2,37,0,6,47,18
5550,UID05550,104,2,0,0,0,0,17,0,13,0,9,11,7
5551,UID05551,0,26,33,17,11,6,20,2,0,60,1,1,0
5552,UID05552,0,45,28,39,62,4,0,0,0,5,1,0,3
5553,UID05553,0,95,29,44,12,3,3,0,0,6,0,0,4
5554,UID05554,0,26,36,108,7,2,2,0,0,0,1,0,2
5555,UID05555,22,0,7,18,0,0,18,5,13,0,6,14,92
5556,UID05556,0,94,38,43,10,5,0,0,1,11,1,0,6
5557,UID05557,0,24,31,132,8,0,0,0,0,0,0,0,5
5558,UID05558,66,20,30,26,21,4,1,0,0,0,2,0,3
5559,UID05559,24,0,4,1,1,0,87,46,2,0,7,5,17
5560,UID05560,34,3,7,1,21,0,29,3,18,0,14,5,31
5561,UID05561,0,26,35,119,8,0,0,0,0,1,2,0,2
5562,UID05562,28,0,5,11,0,0,8,7,12,0,19,13,75
5563,UID05563,0,40,79,33,2,3,3,0,0,5,0,11,3
5564,UID05564,0,26,34,115,6,0,0,0,0,0,0,0,2
5565,UID05565,0,67,37,34,9,2,1,0,1,6,0,1,2
5566,UID05566,58,22,38,20,13,4,4,0,0,0,3,0,2
5567,UID05567,0,24,27,137,10,2,1,0,0,1,1,0,0
5568,UID05568,13,0,2,0,0,0,26,0,14,0,9,4,56
5569,UID05569,0,72,35,44,12,5,1,0,1,10,1,0,1
5570,UID05570,0,73,27,32,13,5,2,0,0,10,1,0,3
5571,UID05571,139,6,2,0,0,0,6,0,10,0,12,11,3
5572,UID05572,0,43,33,28,44,7,0,0,1,4,3,0,2
5573,UID05573,0,74,34,51,13,5,3,0,0,9,3,0,0
5574,UID05574,0,40,83,22,4,3,1,0,0,4,1,6,4
5575,UID05575,14,15,0,4,2,17,23,2,8,0,51,8,27
5576,UID05576,136,3,0,0,0,0,17,0,18,0,9,7,1
5577,UID05577,0,85,28,43,8,3,4,0,1,8,3,0,4
5578,UID05578,17,1,4,3,0,0,39,3,20,0,19,11,63
5579,UID05579,19,0,3,7,0,0,79,37,5,0,6,7,23
5580,UID05580,25,1,7,19,0,0,16,6,7,0,15,8,90
5581,UID05581,26,4,5,3,0,0,31,6,25,0,19,18,58
5582,UID05582,11,20,2,1,2,9,17,8,13,0,50,6,23
5583,UID05583,0,48,29,41,50,3,0,0,2,2,2,0,2
5584,UID05584,25,1,5,5,14,0,19,4,16,0,13,14,30
5585,UID05585,0,27,73,27,4,6,0,0,0,5,0,11,2
5586,UID05586,0,17,38,10,10,5,21,0,1,58,0,1,0
5587,UID05587,0,35,90,18,7,2,1,0,0,7,0,5,1
5588,UID05588,25,3,21,1,0,0,19,2,41,0,5,38,19
5589,UID05589,15,18,4,3,2,10,22,6,6,0,42,8,32
5590,UID05590,28,1,7,1,12,0,28,4,14,0,15,15,40
5591,UID05591,29,0,5,15,0,0,11,3,13,0,13,9,74
5592,UID05592,21,0,2,20,0,0,16,7,17,0,22,15,78
5593,UID05593,20,2,7,5,15,0,33,2,20,0,18,10,37
5594,UID05594,148,0,2,0,0,0,8,5,7,0,11,10,4
5595,UID05595,17,1,4,17,0,0,8,5,7,0,15,13,80
5596,UID05596,0,15,26,16,6,3,24,2,2,47,1,0,0
5597,UID05597,0,30,84,26,3,2,0,0,0,5,0,2,2
5598,UID05598,17,5,3,6,18,0,26,10,16,0,16,10,40
5599,UID05599,33,2,8,2,0,0,23,5,9,0,23,11,51
5600,UID05600,20,1,4,23,1,0,10,7,7,0,9,12,63
5601,UID05601,0,95,27,44,15,6,2,0,1,5,0,0,4
5602,UID05602,32,0,2,18,0,0,11,9,20,0,15,16,83
5603,UID05603,21,1,18,2,0,0,32,3,44,0,8,30,22
5604,UID05604,0,37,32,24,48,3,1,0,0,2,1,0,1
5605,UID05605,134,2,3,0,0,0,18,4,9,0,6,10,3
5606,UID05606,24,0,5,6,0,0,30,7,29,0,16,15,51
5607,UID05607,24,0,3,15,1,0,2,9,23,0,20,18,88
5608,UID05608,0,15,37,19,7,2,21,1,0,60,1,1,0
5609,UID05609,0,21,82,23,6,1,1,0,1,5,0,9,3
5610,UID05610,0,30,24,115,8,0,1,0,0,1,1,0,1
5611,UID05611,0,20,26,110,7,2,2,0,0,1,2,0,3
5612,UID05612,0,22,33,116,7,0,0,0,0,0,2,0,1
5613,UID05613,0,128,26,52,5,2,1,0,1,5,2,0,1
5614,UID05614,13,0,7,4,1,0,82,36,6,0,4,8,20
5615,UID05615,0,62,26,37,9,4,4,0,1,9,1,0,2
5616,UID05616,40,3,9,4,0,0,24,9,22,0,8,14,52
5617,UID05617,0,68,36,46,10,8,3,0,0,6,1,0,4
5618,UID05618,0,42,34,42,46,4,0,0,0,3,4,0,1
5619,UID05619,36,2,5,8,17,0,26,3,17,0,13,14,34
5620,UID05620,0,23,29,102,13,0,0,0,1,0,1,0,1
5621,UID05621,0,73,17,9,7,61,0,0,0,0,5,0,0
5622,UID05622,25,0,2,11,2,0,12,8,9,0,13,11,86
5623,UID05623,29,1,16,7,0,0,24,3,42,0,9,34,25
5624,UID05624,19,0,3,18,0,0,10,5,13,0,10,11,70
5625,UID05625,28,1,20,5,0,0,20,4,46,0,3,33,18
5626,UID05626,0,16,34,113,13,2,3,0,1,1,0,0,1
5627,UID05627,27,2,6,10,14,0,28,5,16,0,18,10,32
5628,UID05628,0,21,34,130,6,2,2,0,0,0,2,0,1
5629,UID05629,0,85,33,43,5,2,1,0,0,7,0,0,3
5630,UID05630,0,60,9,5,10,68,0,0,0,0,4,0,0
5631,UID05631,0,30,25,116,9,0,3,0,0,0,1,0,2
5632,UID05632,0,58,19,5,16,63,0,0,0,0,2,0,0
5633,UID05633,0,63,9,1,16,63,0,0,0,0,4,1,0
5634,UID05634,15,13,2,2,2,20,25,5,15,0,41,12,29
5635,UID05635,35,3,3,5,13,0,23,5,12,0,16,11,29
5636,UID05636,0,18,35,117,8,3,1,0,0,0,3,0,2
5637,UID05637,26,1,10,17,1,0,10,5,10,0,9,10,67
5638,UID05638,19,0,6,4,0,0,81,41,4,0,6,4,26
5639,UID05639,0,24,48,106,12,0,4,0,0,0,2,0,2
5640,UID05640,57,29,32,25,14,6,1,0,0,0,0,1,4
5641,UID05641,0,49,17,6,11,67,0,0,0,0,3,1,0
5642,UID05642,71,16,35,17,12,3,2,0,1,0,1,0,0
5643,UID05643,28,0,4,2,0,0,98,32,6,0,7,2,18
5644,UID05644,0,34,81,24,3,1,0,0,0,2,0,4,3
5645,UID05645,18,1,1,3,0,0,77,40,6,0,11,4,24
5646,UID05646,0,24,26,27,9,6,29,1,0,59,2,0,2
5647,UID05647,62,23,26,19,12,10,2,0,1,0,2,0,1
5648,UID05648,20,10,2,3,0,12,37,7,18,0,57,13,26
5649,UID05649,25,2,3,9,18,0,28,6,22,0,21,9,21
5650,UID05650,29,3,8,8,18,0,35,8,8,0,16,10,40
5651,UID05651,20,0,5,23,0,0,13,6,21,0,12,14,69
5652,UID05652,0,66,18,6,12,67,0,0,0,0,5,0,0
5653,UID05653,20,0,5,27,1,0,8,8,11,0,16,20,71
5654,UID05654,0,87,26,47,8,6,2,0,0,7,0,0,1
5655,UID05655,54,26,34,17,14,4,0,0,0,0,2,0,1
5656,UID05656,0,29,84,17,2,5,0,0,2,9,0,8,2
5657,UID05657,0,27,34,92,6,0,0,0,1,1,0,0,0
5658,UID05658,0,31,26,112,5,1,1,0,0,0,0,0,1
5659,UID05659,13,10,3,3,1,14,23,5,8,0,51,5,26
5660,UID05660,122,1,2,0,0,0,6,0,18,0,12,14,4
5661,UID05661,34,3,3,1,0,0,36,8,21,0,19,11,51
5662,UID05662,135,3,2,0,0,0,20,1,9,0,11,8,7
5663,UID05663,67,23,27,26,13,1,4,0,0,0,1,0,0
5664,UID05664,32,0,6,21,0,0,13,5,10,0,17,13,81
5665,UID05665,23,0,7,16,0,0,15,3,18,0,11,18,86
5666,UID05666,29,0,4,3,0,0,82,32,4,0,5,5,24
5667,UID05667,26,2,4,2,0,0,33,4,25,0,20,15,46
5668,UID05668,0,36,104,37,4,6,0,0,3,8,0,6,1
5669,UID05669,16,0,3,6,0,0,70,43,7,0,5,6,34
5670,UID05670,0,20,25,15,14,5,21,1,0,53,1,0,0
5671,UID05671,21,1,6,2,2,0,26,2,14,0,10,9,53
5672,UID05672,0,71,17,7,13,52,0,0,1,0,4,1,0
5673,UID05673,0,16,26,95,10,1,2,0,0,0,2,0,3
5674,UID05674,0,21,26,121,11,1,1,0,0,0,1,0,4
5675,UID05675,19,0,6,22,0,0,9,7,12,0,10,10,71
5676,UID05676,63,27,38,30,6,7,4,0,0,0,1,0,4
5677,UID05677,0,34,80,33,2,4,0,0,0,8,0,9,1
5678,UID05678,22,0,4,32,1,0,14,5,12,0,14,14,76
5679,UID05679,0,17,25,106,12,1,3,0,1,0,1,0,1
5680,UID05680,11,0,2,2,2,0,30,0,18,0,12,10,61
5681,UID05681,0,25,28,103,11,1,0,0,0,0,3,0,0
5682,UID05682,107,4,1,0,0,0,11,4,18,0,7,15,4
5683,UID05683,0,75,47,44,14,7,0,0,0,11,0,1,3
5684,UID05684,59,25,38,18,7,4,2,0,0,0,0,2,3
5685,UID05685,16,1,5,3,0,0,74,47,4,0,10,6,28
5686,UID05686,27,0,6,23,1,0,12,6,11,0,12,14,71
5687,UID05687,0,21,30,105,9,2,2,0,0,1,1,0,1
5688,UID05688,29,1,3,27,1,0,9,10,12,0,12,11,76
5689,UID05689,25,0,7,18,0,0,11,7,14,0,17,17,77
5690,UID05690,13,14,7,2,1,20,19,4,11,0,51,5,27
5691,UID05691,0,20,18,108,7,2,2,0,1,0,1,0,2
5692,UID05692,23,1,8,20,0,0,10,4,11,0,8,10,86
5693,UID05693,33,1,15,6,0,0,21,3,35,0,8,44,23
5694,UID05694,118,3,1,0,0,0,10,0,14,0,5,11,1
5695,UID05695,23,1,16,5,0,0,36,5,48,0,4,30,24
5696,UID05696,21,0,6,19,1,0,9,7,9,0,12,14,74
5697,UID05697,24,1,14,5,0,0,20,2,38,0,10,48,20
5698,UID05698,116,1,1,0,0,0,12,0,17,0,13,12,3
5699,UID05699,0,18,33,21,8,7,18,1,0,38,1,0,1
5700,UID05700,8,0,1,2,0,0,31,0,18,0,8,1,64
5701,UID05701,0,19,30,112,8,0,1,0,0,0,2,0,2
5702,UID05702,0,17,32,18,6,7,24,1,1,57,0,0,0
5703,UID05703,20,0,5,19,1,0,12,7,19,0,10,14,71
5704,UID05704,0,104,30,57,7,1,1,0,4,9,1,0,4
5705,UID05705,22,0,5,25,1,0,11,4,12,0,18,13,65
5706,UID05706,9,0,1,4,0,0,28,2,15,0,10,9,74
5707,UID05707,14,2,5,3,0,0,35,6,22,0,22,16,34
5708,UID05708,17,14,1,0,0,15,20,3,13,0,48,11,40
5709,UID05709,0,13,35,21,12,6,22,2,0,42,2,0,0
5710,UID05710,121,2,0,0,0,0,13,1,5,0,8,19,5
5711,UID05711,0,41,40,37,45,6,0,0,0,2,0,0,5
5712,UID05712,0,27,32,118,8,0,2,0,0,0,0,0,6
5713,UID05713,19,0,4,19,0,0,11,6,17,0,15,13,60
5714,UID05714,15,1,3,1,0,0,36,1,12,0,12,8,65
5715,UID05715,126,4,3,0,0,0,21,2,16,0,7,16,5
5716,UID05716,0,59,12,6,14,61,0,0,0,0,4,0,0
5717,UID05717,19,0,14,4,0,0,21,4,34,0,11,32,17
5718,UID05718,0,47,40,40,48,5,0,0,0,8,1,0,0
5719,UID05719,0,35,75,23,2,5,0,0,3,4,0,7,1
5720,UID05720,0,21,34,110,8,0,1,0,1,0,0,0,0
5721,UID05721,0,41,86,20,2,5,0,0,0,5,0,7,5
5722,UID05722,146,2,2,0,0,0,13,3,12,0,9,10,1
5723,UID05723,25,1,6,1,0,0,24,1,29,0,13,10,51
5724,UID05724,0,13,20,21,8,10,30,4,0,52,0,1,0
5725,UID05725,0,21,29,103,12,0,5,0,0,2,0,0,2
5726,UID05726,33,0,1,21,0,0,10,7,17,0,9,7,70
5727,UID05727,32,0,8,4,12,0,22,5,11,0,15,10,40
5728,UID05728,26,0,6,21,1,0,12,5,15,0,18,14,83
5729,UID05729,166,3,2,0,0,0,12,2,13,0,9,7,1
5730,UID05730,26,0,7,22,0,0,12,7,12,0,13,11,86
5731,UID05731,30,0,7,6,17,0,30,5,16,0,10,7,25
5732,UID05732,25,1,6,27,1,0,10,6,9,0,12,18,66
5733,UID05733,0,70,44,35,13,5,1,0,0,7,0,0,3
5734,UID05734,0,21,40,102,6,0,1,0,0,0,0,0,2
5735,UID05735,0,20,33,22,6,7,22,2,0,46,1,0,1
5736,UID05736,0,71,22,7,10,76,0,0,0,0,3,0,0
5737,UID05737,0,20,36,112,10,1,3,0,0,0,0,0,0
5738,UID05738,0,66,21,7,6,62,0,0,0,0,5,0,0
5739,UID05739,0,23,24,14,12,3,23,1,1,59,1,0,0
5740,UID05740,23,1,19,8,1,0,25,4,31,0,8,45,29
5741,UID05741,21,17,3,2,2,16,29,4,12,0,51,8,23
5742,UID05742,58,19,24,28,19,9,1,1,0,0,0,1,1
5743,UID05743,0,70,21,9,8,64,0,0,0,0,3,1,0
5744,UID05744,54,24,32,20,11,3,3,0,0,0,1,1,2
5745,UID05745,36,0,4,4,1,0,21,8,17,0,18,17,44
5746,UID05746,0,16,33,16,7,6,17,1,0,53,2,0,0
5747,UID05747,34,3,1,7,17,0,38,2,18,0,22,17,38
5748,UID05748,28,6,7,2,0,0,37,6,20,0,16,11,54
5749,UID05749,57,21,37,21,12,4,1,0,1,0,3,0,1
5750,UID05750,57,17,38,27,8,5,1,0,0,0,1,1,4
5751,UID05751,0,24,34,117,16,0,3,0,0,0,2,1,0
5752,UID05752,0,65,34,50,7,4,0,0,0,5,0,0,2
5753,UID05753,22,0,3,0,0,0,31,3,20,0,13,13,52
5754,UID05754,26,0,16,6,0,0,24,7,52,0,7,41,18
5755,UID05755,0,26,30,104,4,1,3,0,0,0,1,1,3
5756,UID05756,0,14,36,102,7,4,1,0,0,1,2,0,1
5757,UID05757,0,19,36,106,8,0,1,0,0,0,0,0,4
5758,UID05758,12,18,2,2,2,19,16,4,16,0,51,10,26
5759,UID05759,0,123,35,61,6,0,0,0,0,10,0,0,5
5760,UID05760,0,60,33,46,10,2,4,0,2,3,4,0,1
5761,UID05761,0,24,26,14,8,5,18,1,1,55,0,0,0
5762,UID05762,0,59,16,10,15,65,0,0,0,0,3,2,0
5763,UID05763,0,41,101,24,2,8,1,0,1,10,0,8,3
5764,UID05764,0,55,29,38,45,5,0,0,2,3,3,0,1
5765,UID05765,0,116,23,51,6,2,1,0,1,4,0,0,3
5766,UID05766,0,18,36,15,8,1,16,2,0,50,2,0,0
5767,UID05767,0,15,35,110,9,1,1,0,0,0,2,0,2
5768,UID05768,21,2,4,2,0,0,78,36,5,0,6,4,23
5769,UID05769,0,25,24,126,8,1,4,0,0,2,2,0,0
5770,UID05770,32,0,1,25,0,0,12,4,9,0,15,13,80
5771,UID05771,0,67,13,8,12,69,0,0,0,0,3,1,0
5772,UID05772,0,61,18,6,10,59,0,0,1,0,3,0,0
5773,UID05773,0,25,28,108,10,1,1,0,0,0,3,0,0
5774,UID05774,0,23,29,117,5,1,2,0,0,0,2,0,3
5775,UID05775,61,23,46,14,10,5,0,0,0,0,0,0,3
5776,UID05776,23,2,7,23,0,0,13,3,8,0,17,17,82
5777,UID05777,5,0,0,8,0,0,42,0,27,0,2,2,123
5778,UID05778,0,26,83,37,8,6,0,0,0,5,0,1,1
5779,UID05779,31,0,7,23,0,0,10,4,19,0,23,18,73
5780,UID05780,28,3,4,1,1,0,28,8,16,0,18,8,55
5781,UID05781,114,0,1,0,0,0,9,2,13,0,11,12,7
5782,UID05782,64,27,26,20,12,8,3,0,1,0,3,0,2
5783,UID05783,0,47,25,52,39,7,0,0,0,3,2,0,1
5784,UID05784,0,48,28,38,42,6,1,0,0,3,0,0,2
5785,UID05785,0,8,26,22,12,8,11,2,0,54,1,0,0
5786,UID05786,27,3,5,1,1,0,23,3,22,0,8,14,68
5787,UID05787,0,19,30,126,14,0,0,0,0,2,1,0,2
5788,UID05788,0,21,32,114,8,0,1,0,1,0,3,0,2
5789,UID05789,0,87,34,42,11,0,2,0,2,5,4,0,1
5790,UID05790,32,1,21,4,0,0,29,2,29,0,8,39,30
5791,UID05791,24,0,5,21,2,0,16,4,7,0,13,6,81
5792,UID05792,22,0,5,21,1,0,12,7,16,0,21,7,61
5793,UID05793,18,0,4,15,1,0,11,3,13,0,8,22,68
5794,UID05794,12,2,7,5,0,0,83,45,6,0,3,6,24
5795,UID05795,12,2,4,1,1,0,27,8,27,0,11,12,55
5796,UID05796,22,2,13,4,0,0,17,3,58,0,11,41,29
5797,UID05797,132,1,1,0,0,0,13,2,11,0,4,21,4
5798,UID05798,21,0,5,22,3,0,9,5,10,0,8,13,67
5799,UID05799,0,24,35,17,9,7,20,0,2,67,1,1,1
5800,UID05800,0,36,86,14,1,3,1,0,0,5,0,7,1
5801,UID05801,27,0,6,15,1,0,12,8,10,0,14,14,69
5802,UID05802,0,86,31,54,9,2,3,0,1,8,3,0,0
5803,UID05803,15,5,19,6,0,0,19,3,41,0,15,48,23
5804,UID05804,0,10,29,16,10,2,19,3,0,47,0,0,0
5805,UID05805,0,61,17,4,13,69,0,0,0,0,5,0,0
5806,UID05806,17,0,4,20,1,0,8,5,20,0,8,11,84
5807,UID05807,19,0,7,28,0,0,18,6,11,0,13,24,65
5808,UID05808,15,0,2,1,0,0,34,0,24,0,15,7,82
5809,UID05809,58,30,35,21,14,5,3,0,0,0,0,0,3
5810,UID05810,29,4,10,2,1,0,37,4,26,0,16,11,63
5811,UID05811,26,0,20,3,0,0,23,4,39,0,11,49,21
5812,UID05812,18,0,6,0,0,0,92,41,2,0,5,4,17
5813,UID05813,0,56,17,10,13,67,0,0,1,0,6,1,0
5814,UID05814,0,18,27,99,3,0,1,0,2,0,2,0,2
5815,UID05815,18,1,10,19,1,0,11,7,7,0,11,10,84
5816,UID05816,0,93,27,41,6,10,0,0,3,5,1,0,3
5817,UID05817,128,2,1,0,0,0,13,1,15,0,11,10,4
5818,UID05818,21,2,4,5,0,0,26,6,19,0,8,13,61
5819,UID05819,0,23,35,120,7,1,0,0,0,0,1,0,6
5820,UID05820,0,32,21,126,8,1,0,0,0,0,1,0,3
5821,UID05821,11,1,4,3,0,0,98,32,0,0,8,9,20
5822,UID05822,28,3,6,2,0,0,35,5,25,0,17,11,45
5823,UID05823,14,2,5,4,0,0,101,41,6,0,7,8,29
5824,UID05824,0,35,30,40,55,4,0,0,1,4,2,0,2
5825,UID05825,0,16,35,14,7,3,20,0,0,56,1,0,0
5826,UID05826,154,2,2,0,0,0,16,2,15,0,10,19,4
5827,UID05827,19,0,3,1,0,0,85,37,2,0,12,3,23
5828,UID05828,0,20,47,25,8,1,23,3,0,55,0,0,0
5829,UID05829,123,4,1,0,0,0,16,2,15,0,12,8,7
5830,UID05830,16,14,5,6,2,20,29,4,11,0,58,6,32
5831,UID05831,22,3,4,24,1,0,7,2,16,0,8,10,91
5832,UID05832,0,64,19,4,9,55,0,0,0,0,3,0,0
5833,UID05833,0,28,32,109,4,0,3,0,1,1,2,0,1
5834,UID05834,0,72,32,52,7,4,1,0,2,6,3,0,2
5835,UID05835,0,17,30,19,8,7,26,2,0,48,2,0,0
5836,UID05836,22,0,2,4,0,0,92,36,7,0,7,5,23
5837,UID05837,0,24,78,29,2,3,0,0,0,6,0,2,2
5838,UID05838,26,2,6,3,1,0,34,3,16,0,12,6,47
5839,UID05839,0,74,16,4,10,61,0,0,0,0,5,1,0
5840,UID05840,0,74,33,45,12,3,1,0,1,6,1,1,0
5841,UID05841,20,1,25,1,0,0,22,2,52,0,10,46,22
5842,UID05842,0,75,21,4,9,48,0,0,0,0,5,0,0
5843,UID05843,10,0,0,4,0,0,38,0,35,0,2,3,128
5844,UID05844,21,3,17,1,0,0,27,6,51,0,4,38,21
5845,UID05845,0,21,31,19,5,5,21,1,1,47,1,0,0
5846,UID05846,0,65,25,6,11,79,0,1,1,0,7,0,0
5847,UID05847,0,52,29,38,49,6,0,0,0,6,2,0,3
5848,UID05848,11,12,1,2,1,13,20,4,12,0,45,8,22
5849,UID05849,0,34,24,110,7,2,2,0,0,0,1,0,0
5850,UID05850,0,43,32,36,38,6,1,0,0,4,1,0,1
5851,UID05851,0,62,38,38,15,6,3,0,0,10,3,0,2
5852,UID05852,149,3,1,0,0,0,10,4,17,0,13,9,2
5853,UID05853,0,16,27,128,9,0,3,0,0,1,5,0,2
5854,UID05854,11,16,2,3,1,15,27,3,12,0,62,9,27
5855,UID05855,0,71,18,11,18,73,0,0,0,0,4,1,0
5856,UID05856,27,0,4,12,1,0,13,8,16,0,19,14,71
5857,UID05857,0,27,32,108,6,0,0,0,0,1,1,0,2
5858,UID05858,0,39,94,31,5,2,0,0,1,6,0,3,0
5859,UID05859,13,2,2,0,0,0,36,4,14,0,9,10,71
5860,UID05860,9,0,3,0,0,0,26,0,19,0,9,4,71
5861,UID05861,28,1,18,4,0,0,20,5,41,0,9,41,16
5862,UID05862,27,0,6,17,0,0,8,3,14,0,13,16,77
5863,UID05863,0,33,91,30,7,9,0,0,0,3,0,6,3
5864,UID05864,58,24,43,17,13,4,1,0,1,0,4,0,1
5865,UID05865,13,20,6,5,1,16,34,7,12,0,55,5,23
5866,UID05866,22,0,1,3,0,0,86,40,4,0,7,5,30
5867,UID05867,27,0,2,17,0,0,10,6,9,0,20,12,82
5868,UID05868,20,0,2,0,0,0,23,0,17,0,12,9,72
5869,UID05869,0,35,36,39,51,3,0,0,0,3,2,0,2
5870,UID05870,0,36,90,30,1,3,0,0,3,11,0,9,4
5871,UID05871,0,39,74,31,3,4,2,0,3,8,0,8,2
5872,UID05872,34,0,20,2,0,0,32,6,43,0,6,52,17
5873,UID05873,0,38,31,26,54,5,0,0,0,1,1,0,1
5874,UID05874,0,12,27,116,9,0,1,0,0,2,3,0,1
5875,UID05875,0,76,22,9,14,63,0,0,1,0,2,0,0
5876,UID05876,22,0,4,20,0,0,15,8,12,0,18,11,73
5877,UID05877,0,67,27,40,11,2,0,0,0,6,2,0,4
5878,UID05878,23,0,2,15,0,0,9,4,16,0,15,18,54
5879,UID05879,66,22,32,18,15,8,0,0,0,0,4,0,1
5880,UID05880,33,4,3,6,0,0,33,12,21,0,11,11,70
5881,UID05881,0,69,31,43,6,3,1,0,1,7,1,1,2
5882,UID05882,0,68,14,6,5,58,0,0,0,0,2,0,0
5883,UID05883,30,1,21,3,0,0,20,3,40,0,10,51,16
5884,UID05884,0,135,2,30,1,1,0,0,0,0,0,0,2
5885,UID05885,0,85,44,43,12,3,0,0,0,11,1,0,5
5886,UID05886,0,72,17,8,12,58,0,0,0,0,4,1,0
5887,UID05887,19,0,20,0,0,0,18,3,42,0,3,42,18
5888,UID05888,23,1,20,3,1,0,27,4,37,0,7,47,21
5889,UID05889,0,56,14,6,9,78,0,0,0,0,2,0,0
